,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점
1,뽀르께노 스페니쉬비스트로,4.6,성북구, 서울특별시 성북구 동소문로6길 4-21 1F,다국적음식, 만원-2만원,2022-07-22,맛있다,7.0,7.0,0.0,0.0,4.6
3,성북동집,4.5,성북구, 서울특별시 성북구 성북로24길 4,한식, 만원-2만원,2022-07-28,맛있다,41.0,35.0,6.0,0.0,3.841463414634146
4,계모임,4.5,성북구, 서울특별시 성북구 보문로30라길 5-10 1F,한식, 만원-2만원,5 일 전,맛있다,10.0,10.0,0.0,0.0,4.5
5,옥돌,4.5,성북구, 서울특별시 성북구 동소문로17길 11,양식, 만원-2만원,2022-07-18,맛있다,5.0,5.0,0.0,0.0,4.5
6,우정초밥,4.4,성북구, 서울특별시 성북구 종암로3길 31 1F,일식, 2만원-3만원,2022-06-18,맛있다,31.0,28.0,3.0,0.0,3.974193548387097
8,일흥콩나물국밥,4.4,성북구, 서울특별시 성북구 고려대로5길 77,한식, 만원 미만,2022-05-16,맛있다,11.0,11.0,0.0,0.0,4.4
9,드시소,4.4,성북구, 서울특별시 성북구 보국문로 86-3 1F,주점, 2만원-3만원,2022-05-15,맛있다,8.0,8.0,0.0,0.0,4.4
10,마실참숯불생고기집,4.4,성북구, 서울특별시 성북구 종암로38길 41-2,한식, 만원-2만원,2022-07-21,맛있다,7.0,7.0,0.0,0.0,4.4
14,바람난오리궁뎅이,4.3,성북구, 서울특별시 성북구 보국문로29길 15,한식, 2만원-3만원,2021-07-30,맛있다,19.0,18.0,1.0,0.0,4.073684210526316
15,영순관,4.3,성북구, 서울특별시 성북구 지봉로24길 19,중식, 만원 미만,2022-01-30,맛있다,9.0,8.0,1.0,0.0,3.822222222222222
17,밀곳간,4.3,성북구, 서울특별시 성북구 성북로18길 19,카페/디저트, 만원 미만,2022-08-02,맛있다,14.0,14.0,0.0,0.0,4.3
19,참나무닭나라,4.3,성북구, 서울특별시 성북구 동소문로8길 12,한식, 만원 미만,2022-03-23,맛있다,18.0,17.0,0.0,1.0,3.583333333333333
20,토로생선구이,4.3,성북구, 서울특별시 성북구 고려대로28길 14-1,한식, 만원-2만원,2022-03-31,맛있다,10.0,9.0,1.0,0.0,3.8699999999999997
24,동병상련,4.2,성북구, 서울특별시 성북구 정릉로10길 42-6,카페/디저트, 만원 미만,2022-04-24,맛있다,7.0,7.0,0.0,0.0,4.2
27,임금님자장면,4.2,성북구, 서울특별시 성북구 보국문로 91,중식, 만원 미만,2022-06-29,맛있다,12.0,10.0,2.0,0.0,3.5
31,일상,4.1,성북구, 서울특별시 성북구 성북로 106,카페/디저트, 만원 미만,2022-05-22,맛있다,28.0,26.0,1.0,1.0,3.5142857142857142
32,병과점임오반,4.1,성북구, 서울특별시 성북구 동소문로17길 27 102호,카페/디저트, 만원 미만,2022-06-02,맛있다,11.0,11.0,0.0,0.0,4.1
34,샤뽀블랑,4.1,성북구, 서울특별시 성북구 성북로 60,카페/디저트, 만원 미만,2022-07-31,맛있다,19.0,17.0,2.0,0.0,3.668421052631578
42,디프커피,4.1,성북구, 서울특별시 성북구 동소문로26가길 56,카페/디저트, 만원 미만,2021-04-20,맛있다,7.0,6.0,1.0,0.0,3.514285714285714
44,바테일러,4.1,성북구, 서울특별시 성북구 아리랑로2길 23,주점, 2만원-3만원,2022-05-29,괜찮다,9.0,8.0,1.0,0.0,3.644444444444444
56,백두산양꼬치구이,4.0,성북구, 서울특별시 성북구 동소문로20다길 24,중식, 만원-2만원,2021-05-13,맛있다,27.0,24.0,3.0,0.0,3.5555555555555554
61,모던양갱집,4.0,성북구, 서울특별시 성북구 보국문로16길 72,카페/디저트, 만원 미만,2022-05-13,맛있다,8.0,7.0,1.0,0.0,3.5
87,장수식당,3.9,성북구, 서울특별시 성북구 정릉로26길 55,한식, 만원 미만,2022-07-13,맛있다,6.0,6.0,0.0,0.0,3.9
89,슬로우브레드파파,3.9,성북구, 서울특별시 성북구 보문로30나길 29,카페/디저트, 만원 미만,2021-07-21,맛있다,12.0,11.0,1.0,0.0,3.5749999999999997
185,이립스,4.6,성북구, 서울특별시 성북구 인촌로7길 84-7,카페/디저트, 만원 미만,2021-11-20,맛있다,11.0,11.0,0.0,0.0,4.6
194,시키카츠,4.7,동대문구, 서울특별시 동대문구 회기로 110,일식, 만원-2만원,2022-07-26,맛있다,65.0,54.0,9.0,2.0,3.6153846153846154
196,육전식당,4.4,동대문구, 서울특별시 동대문구 난계로30길 16,한식, 만원-2만원,2022-08-01,맛있다,196.0,166.0,26.0,4.0,3.5469387755102044
199,슈퍼내추럴,4.4,동대문구, 서울특별시 동대문구 전농로23길 78 1F,카페/디저트, 만원 미만,2022-04-24,맛있다,7.0,7.0,0.0,0.0,4.4
200,연어이야기,4.4,동대문구, 서울특별시 동대문구 고산자로 528-1,일식, 만원-2만원,2021-05-22,맛있다,17.0,16.0,0.0,1.0,3.6235294117647063
201,스시코야,4.3,동대문구, 서울특별시 동대문구 황물로 42 1F,일식, 2만원-3만원,1 일 전,맛있다,11.0,9.0,2.0,0.0,3.5181818181818176
204,골목길빵공작소,4.3,동대문구, 서울특별시 동대문구 답십리로60길 112 1F,카페/디저트, 만원 미만,2022-08-05,맛있다,16.0,16.0,0.0,0.0,4.3
206,대흥설농탕,4.3,동대문구, 서울특별시 동대문구 한천로 60,한식, 만원-2만원,2022-06-07,맛있다,9.0,8.0,1.0,0.0,3.822222222222222
207,비나,4.3,동대문구, 서울특별시 동대문구 안암로24길 4,다국적음식, 만원 미만,2022-03-08,맛있다,34.0,30.0,3.0,1.0,3.541176470588235
208,촨커,4.3,동대문구, 서울특별시 동대문구 이문로9길 105,중식, 만원-2만원,2022-06-30,맛있다,30.0,26.0,4.0,0.0,3.7266666666666666
211,커피그라운즈,4.2,동대문구, 서울특별시 동대문구 답십리로48길 57,카페/디저트, 만원 미만,9 시간 전,맛있다,25.0,23.0,2.0,0.0,3.8640000000000003
212,이문동커피집,4.2,동대문구, 서울특별시 동대문구 이문로25길 39 1F,카페/디저트, 만원 미만,2022-06-30,맛있다,40.0,37.0,3.0,0.0,3.8850000000000002
214,답십리별미,4.2,동대문구, 서울특별시 동대문구 답십리로48길 98,한식, 만원 미만,2022-07-30,맛있다,11.0,10.0,1.0,0.0,3.8181818181818183
217,포레스티,4.2,동대문구, 서울특별시 동대문구 이문로9나길 32,양식, 만원 미만,2022-07-02,맛있다,26.0,22.0,4.0,0.0,3.553846153846154
218,알로하올라,4.2,동대문구, 서울특별시 동대문구 회기로 133-1 1F,카페/디저트, 만원 미만,2022-06-03,맛있다,7.0,6.0,1.0,0.0,3.6000000000000005
222,백정스테이크바,4.1,동대문구, 서울특별시 동대문구 망우로 122-10,양식, 2만원-3만원,2021-05-09,맛있다,7.0,6.0,1.0,0.0,3.514285714285714
225,씨위드커피,4.1,동대문구, 서울특별시 동대문구 회기로25길 59 1F,카페/디저트, 만원 미만,2022-06-09,맛있다,6.0,6.0,0.0,0.0,4.1
239,양자호떡,4.0,동대문구, 서울특별시 동대문구 회기로 161 1F,카페/디저트, 만원 미만,2022-03-08,맛있다,18.0,16.0,2.0,0.0,3.5555555555555554
245,에잇올리,4.0,동대문구, 서울특별시 동대문구 경희대로6길 3-2 1F,양식, 만원 미만,2022-05-25,맛있다,9.0,8.0,1.0,0.0,3.5555555555555554
389,티하우스나니,4.3,중랑구, 서울특별시 중랑구 용마산로117길 26 102호,카페/디저트, 만원 미만,2022-02-21,맛있다,20.0,20.0,0.0,0.0,4.3
390,용마해장국,4.3,중랑구, 서울특별시 중랑구 용마공원로5길 8,한식, 만원 미만,2022-05-05,맛있다,11.0,11.0,0.0,0.0,4.3
401,숯불닭갈비에 반하닭,4.7,중랑구, 서울특별시 중랑구 면목로 352 1F,한식, 만원-2만원,2020-11-08,맛있다,18.0,17.0,1.0,0.0,4.438888888888889
585,연희미식,4.8,서대문구, 서울특별시 서대문구 연희맛로 22 삼원빌딩,다국적음식, 만원-2만원,2022-07-29,맛있다,41.0,36.0,5.0,0.0,4.214634146341463
586,메노,4.7,서대문구, 서울특별시 서대문구 연희로26가길 15,양식, 만원-2만원,2022-07-16,맛있다,14.0,13.0,1.0,0.0,4.364285714285715
587,쿳사,4.6,서대문구, 서울특별시 서대문구 증가로 48 상가 1F 103호,양식, 만원-2만원,2022-07-04,맛있다,17.0,17.0,0.0,0.0,4.6
588,정리의밤,4.6,서대문구, 서울특별시 서대문구 연희맛로 31-10,주점, 2만원-3만원,2022-08-01,맛있다,7.0,7.0,0.0,0.0,4.6
589,스탠바이키친,4.5,서대문구, 서울특별시 서대문구 연대동문길 49,양식, 만원 미만,2022-06-19,맛있다,149.0,128.0,17.0,4.0,3.6241610738255035
591,센트그릴 BBQ,4.5,서대문구, 서울특별시 서대문구 연희로 89-3 B1,양식, 만원-2만원,2022-04-29,맛있다,41.0,34.0,7.0,0.0,3.731707317073171
592,롱보트스모커,4.5,서대문구, 서울특별시 서대문구 증가로 27 1F,양식, 만원 미만,2022-06-20,맛있다,9.0,9.0,0.0,0.0,4.5
596,천진분식,4.4,서대문구, 서울특별시 서대문구 이화여대5길 7,중식, 만원 미만,2022-05-13,맛있다,38.0,31.0,7.0,0.0,3.5894736842105264
598,락희안,4.4,서대문구, 서울특별시 서대문구 가재울로4길 53,중식, 만원 미만,2022-04-28,맛있다,18.0,17.0,1.0,0.0,4.155555555555556
599,폴앤폴리나,4.4,서대문구, 서울특별시 서대문구 연희로11길 56,카페/디저트, 만원 미만,2022-08-07,맛있다,33.0,33.0,0.0,0.0,4.4
600,책바,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 101호,주점, 만원-2만원,2022-01-22,맛있다,26.0,25.0,1.0,0.0,4.230769230769232
601,연남장,4.4,서대문구, 서울특별시 서대문구 연희로5길 22 1F,카페/디저트, 만원-2만원,2022-06-21,맛있다,20.0,18.0,2.0,0.0,3.96
602,떼뮤즐렛,4.4,서대문구, 서울특별시 서대문구 연희맛로 24 2F,주점, 만원-2만원,2022-08-04,맛있다,26.0,26.0,0.0,0.0,4.4
603,다이닝후,4.4,서대문구, 서울특별시 서대문구 충정로 43-1,양식, 2만원-3만원,2022-06-28,맛있다,9.0,8.0,1.0,0.0,3.9111111111111114
604,인생이막창이네,4.4,서대문구, 서울특별시 서대문구 연세로7안길 51 1F,한식, 만원-2만원,2022-06-12,맛있다,17.0,16.0,1.0,0.0,4.141176470588236
614,크래프트비어칸,4.3,서대문구, 서울특별시 서대문구 연희로11길 7,주점, 만원-2만원,2022-06-16,맛있다,25.0,23.0,2.0,0.0,3.9559999999999995
617,위드미치코,4.3,서대문구, 서울특별시 서대문구 충정로4길 20,주점, 만원-2만원,2022-07-17,맛있다,29.0,26.0,3.0,0.0,3.8551724137931034
620,심플리키친,4.3,서대문구, 서울특별시 서대문구 이화여대5길 35 107호,한식, 만원 미만,2022-05-18,맛있다,33.0,28.0,5.0,0.0,3.6484848484848484
622,바코드,4.3,서대문구, 서울특별시 서대문구 연세로9길 26,주점, 만원-2만원,2022-05-08,맛있다,27.0,24.0,2.0,1.0,3.5037037037037035
624,탭스터,4.3,서대문구, 서울특별시 서대문구 증가로 1 103호,주점, 만원-2만원,2022-07-29,맛있다,17.0,16.0,1.0,0.0,4.047058823529412
625,여래여거,4.3,서대문구, 서울특별시 서대문구 이화여대길 56-3 1F,일식, 4만원 이상,2022-03-04,맛있다,6.0,6.0,0.0,0.0,4.3
626,고바우집,4.3,서대문구, 서울특별시 서대문구 명물1길 22,한식, 만원-2만원,2022-07-14,맛있다,11.0,10.0,1.0,0.0,3.909090909090909
627,화명당마라탕,4.3,서대문구, 서울특별시 서대문구 이화여대길 78,중식, 만원 미만,2022-08-06,맛있다,26.0,25.0,1.0,0.0,4.134615384615385
628,아콘스톨,4.3,서대문구, 서울특별시 서대문구 신촌역로 17 110호,한식, 만원 미만,2022-07-29,맛있다,12.0,10.0,2.0,0.0,3.5833333333333335
629,제주도그릴,4.3,서대문구, 서울특별시 서대문구 연희로 89,한식, 만원-2만원,2022-07-29,맛있다,14.0,13.0,1.0,0.0,3.992857142857143
630,코블러 연희,4.3,서대문구, 서울특별시 서대문구 연희맛로 31-9,주점, 2만원-3만원,2022-07-18,맛있다,7.0,7.0,0.0,0.0,4.3
631,연희동양꼬치,4.3,서대문구, 서울특별시 서대문구 연희로 81-5,중식, 만원-2만원,2022-06-26,맛있다,8.0,7.0,1.0,0.0,3.7624999999999997
632,아저씨네낙지찜,4.3,서대문구, 서울특별시 서대문구 연세로5다길 39,기타, 만원-2만원,2022-08-09,맛있다,6.0,5.0,1.0,0.0,3.5833333333333335
642,비하인드리메인,4.2,서대문구, 서울특별시 서대문구 연희로11라길 10-6 101호,카페/디저트, 만원 미만,2022-04-30,맛있다,32.0,27.0,5.0,0.0,3.54375
646,맛있는집,4.2,서대문구, 서울특별시 서대문구 거북골로20길 55,한식, 만원 미만,2022-05-05,맛있다,25.0,24.0,0.0,1.0,3.696
649,요릿집,4.2,서대문구, 서울특별시 서대문구 연희맛로 36 1F,한식, 2만원-3만원,2022-07-07,맛있다,6.0,5.0,1.0,0.0,3.5
650,엔타로커피,4.2,서대문구, 서울특별시 서대문구 명물길 37,카페/디저트, 만원 미만,2022-07-29,맛있다,7.0,7.0,0.0,0.0,4.2
651,이세계는놀이터예요,4.2,서대문구, 서울특별시 서대문구 이화여대길 88-15 1F 2호,양식, 만원 미만,2021-08-23,맛있다,8.0,8.0,0.0,0.0,4.2
665,피망과토마토,4.1,서대문구, 서울특별시 서대문구 명물길 27-21 6F,주점, 만원-2만원,2022-06-10,맛있다,19.0,17.0,2.0,0.0,3.668421052631578
667,아이덴티티커피랩,4.1,서대문구, 서울특별시 서대문구 모래내로 390 1F,카페/디저트, 만원 미만,2022-08-08,괜찮다,8.0,7.0,1.0,0.0,3.5874999999999995
669,로실링,4.1,서대문구, 서울특별시 서대문구 연세로4길 26,주점, 만원-2만원,2022-01-28,괜찮다,29.0,25.0,4.0,0.0,3.534482758620689
681,카페위검,4.1,서대문구, 서울특별시 서대문구 연희로11가길 8 2F,카페/디저트, 만원 미만,2022-05-06,맛있다,5.0,5.0,0.0,0.0,4.1
683,연탄생고기집,4.1,서대문구, 서울특별시 서대문구 홍제천로 76,한식, 만원-2만원,2022-05-23,맛있다,7.0,7.0,0.0,0.0,4.1
686,진돈부리,4.1,서대문구, 서울특별시 서대문구 신촌로 149 신촌자이엘라 B104,일식, 만원 미만,2022-03-26,맛있다,7.0,7.0,0.0,0.0,4.1
716,백색소음,4.0,서대문구, 서울특별시 서대문구 연희로 38-12,주점, 만원-2만원,2021-12-19,맛있다,11.0,10.0,1.0,0.0,3.6363636363636362
723,에뚜왈,4.0,서대문구, 서울특별시 서대문구 충정로4길 28,카페/디저트, 만원 미만,4 일 전,맛있다,10.0,9.0,1.0,0.0,3.6
726,야채를담다,4.0,서대문구, 서울특별시 서대문구 신촌역로 22-5 2F 51호,카페/디저트, 만원 미만,2021-06-02,맛있다,18.0,18.0,0.0,0.0,4.0
730,배바위양곱창,4.0,서대문구, 서울특별시 서대문구 연세로7안길 42,한식, 2만원-3만원,2021-07-03,괜찮다,9.0,8.0,1.0,0.0,3.5555555555555554
733,세아마라탕,4.0,서대문구, 서울특별시 서대문구 이화여대길 16,중식, 만원 미만,2021-05-10,맛있다,8.0,7.0,1.0,0.0,3.5
760,1987피자,3.9,서대문구, 서울특별시 서대문구 연세로11길 26 B1,양식, 만원 미만,2020-12-10,맛있다,22.0,21.0,1.0,0.0,3.722727272727272
773,카와카츠,4.8,마포구, 서울특별시 마포구 양화로 78-7 1F,일식, 만원-2만원,2022-08-10,맛있다,62.0,57.0,5.0,0.0,4.412903225806451
774,야키토리나루토,4.8,마포구, 서울특별시 마포구 독막로9길 26,일식, 만원-2만원,4 일 전,맛있다,22.0,22.0,0.0,0.0,4.8
775,파델라,4.8,마포구, 서울특별시 마포구 연남로1길 11 1F,양식, 만원-2만원,2022-08-08,괜찮다,54.0,47.0,7.0,0.0,4.177777777777778
776,카와카츠,4.7,마포구, 서울특별시 마포구 동교로 126 1F 102호,일식, 만원-2만원,2 일 전,맛있다,182.0,156.0,18.0,8.0,3.6153846153846154
777,쉐시몽,4.7,마포구, 서울특별시 마포구 월드컵로10길 48 동궁빌딩 1F,다국적음식, 4만원 이상,2022-06-11,맛있다,43.0,42.0,0.0,1.0,4.372093023255815
778,코바시,4.7,마포구, 서울특별시 마포구 양화로1길 25-3,일식, 4만원 이상,2022-08-01,맛있다,11.0,10.0,1.0,0.0,4.2727272727272725
779,라바즈,4.7,마포구, 서울특별시 마포구 월드컵로13길 19-23 2F,카페/디저트, 만원 미만,5 일 전,맛있다,30.0,29.0,1.0,0.0,4.543333333333334
780,로랑 (휴업중),4.7,마포구, 서울특별시 마포구 성지1길 15 1F,일식, 3만원-4만원,2022-05-28,맛있다,12.0,12.0,0.0,0.0,4.7
781,진만두,4.6,마포구, 서울특별시 마포구 와우산로29길 4-42,중식, 만원 미만,2022-08-04,괜찮다,267.0,229.0,27.0,11.0,3.5662921348314605
782,당도,4.6,마포구, 서울특별시 마포구 포은로 106,카페/디저트, 만원 미만,2022-07-29,맛있다,250.0,228.0,19.0,3.0,4.0847999999999995
787,카카오다다,4.6,마포구, 서울특별시 마포구 희우정로10길 15,카페/디저트, 만원 미만,2022-07-16,맛있다,57.0,50.0,7.0,0.0,4.035087719298245
788,파이리퍼블릭,4.6,마포구, 서울특별시 마포구 양화로23길 10-10 B1,다국적음식, 만원-2만원,2022-04-26,맛있다,43.0,38.0,4.0,1.0,3.851162790697674
789,우주옥,4.6,마포구, 서울특별시 마포구 동교로50길 11 B02호,한식, 만원-2만원,2022-08-06,맛있다,31.0,26.0,4.0,1.0,3.561290322580645
790,오츠에스프레소,4.6,마포구, 서울특별시 마포구 독막로14길 32,카페/디저트, 만원 미만,2022-07-26,괜찮다,43.0,40.0,3.0,0.0,4.27906976744186
791,제스티살룬,4.6,마포구, 서울특별시 마포구 연희로 31 연남빌딩 B1,양식, 만원 미만,2022-07-29,맛있다,45.0,39.0,6.0,0.0,3.9866666666666664
792,윤서울,4.6,마포구, 서울특별시 마포구 홍익로2길 31 1F,한식, 4만원 이상,2022-05-08,맛있다,10.0,10.0,0.0,0.0,4.6
793,젤라떼리아 에따,4.6,마포구, 서울특별시 마포구 월드컵북로4길 44 1F,카페/디저트, 만원 미만,2022-07-27,맛있다,28.0,27.0,1.0,0.0,4.435714285714285
794,르규옹,4.6,마포구, 서울특별시 마포구 성미산로17길 109 1F,양식, 2만원-3만원,2022-07-18,맛있다,7.0,7.0,0.0,0.0,4.6
797,산울림1992,4.5,마포구, 서울특별시 마포구 서강로9길 60,주점, 만원-2만원,2022-06-24,맛있다,191.0,163.0,21.0,7.0,3.5104712041884816
800,듁스커피,4.5,마포구, 서울특별시 마포구 어울마당로2길 10,카페/디저트, 만원 미만,2022-07-30,맛있다,156.0,140.0,13.0,3.0,3.8653846153846154
807,비파티세리,4.5,마포구, 서울특별시 마포구 마포대로14길 4 1F,카페/디저트, 만원 미만,2022-07-23,맛있다,47.0,41.0,6.0,0.0,3.925531914893617
808,우동 이요이요,4.5,마포구, 서울특별시 마포구 토정로35길 29,일식, 만원 미만,2022-07-13,맛있다,27.0,23.0,3.0,1.0,3.5
809,기노,4.5,마포구, 서울특별시 마포구 삼개로3길 6-1,주점, 2만원-3만원,2022-08-02,맛있다,33.0,28.0,4.0,1.0,3.545454545454546
810,하나라멘,4.5,마포구, 서울특별시 마포구 동교로38길 27-4 1F,일식, 만원 미만,2022-08-04,맛있다,28.0,23.0,5.0,0.0,3.6964285714285716
811,무겐스위치,4.5,마포구, 서울특별시 마포구 동교로 242-13,일식, 만원 미만,2022-08-01,맛있다,14.0,13.0,1.0,0.0,4.178571428571429
812,전주상회,4.5,마포구, 서울특별시 마포구 성미산로 195,주점, 2만원-3만원,2022-08-08,맛있다,11.0,11.0,0.0,0.0,4.5
836,피에트라,4.4,마포구, 서울특별시 마포구 성미산로23길 62 1F,카페/디저트, 만원 미만,2 일 전,맛있다,22.0,20.0,1.0,1.0,3.6
840,아소토,4.4,마포구, 서울특별시 마포구 독막로2길 34,주점, 2만원-3만원,2022-06-30,맛있다,19.0,17.0,2.0,0.0,3.9368421052631586
845,커피하우스마이샤,4.4,마포구, 서울특별시 마포구 포은로 52 1F,카페/디저트, 만원 미만,3 일 전,맛있다,10.0,9.0,1.0,0.0,3.96
846,수더분,4.4,마포구, 서울특별시 마포구 백범로 152 공덕파크자이 202동 7호,카페/디저트, 만원 미만,2022-02-12,맛있다,6.0,6.0,0.0,0.0,4.4
847,정성,4.4,마포구, 서울특별시 마포구 방울내로 73,일식, 만원-2만원,2022-04-14,맛있다,7.0,7.0,0.0,0.0,4.4
848,비스트로오라,4.4,마포구, 서울특별시 마포구 동교로 244 2F,양식, 2만원-3만원,2022-08-08,맛있다,4.0,4.0,0.0,0.0,4.4
849,나성타코,4.4,마포구, 서울특별시 마포구 잔다리로2길 24 2F,다국적음식, 만원-2만원,2022-07-31,맛있다,7.0,6.0,1.0,0.0,3.771428571428572
850,리밀커피&밀리,4.4,마포구, 서울특별시 마포구 동교로22길 21,카페/디저트, 만원 미만,2022-04-22,맛있다,7.0,7.0,0.0,0.0,4.4
851,지알로파스타바,4.4,마포구, 서울특별시 마포구 독막로31길 18 1F,양식, 4만원 이상,2022-06-01,괜찮다,5.0,4.0,1.0,0.0,3.5200000000000005
852,홍콩대패당,4.4,마포구, 서울특별시 마포구 양화로23길 10-8 2F,중식, 만원-2만원,2022-08-07,맛있다,5.0,5.0,0.0,0.0,4.4
853,문데이,4.4,마포구, 서울특별시 마포구 토정로 27-1 1F,양식, 만원-2만원,2022-07-17,맛있다,6.0,6.0,0.0,0.0,4.4
