"자치구별(1)",자치구별(2),2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"자치구별(1)",자치구별(2),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%),지역내총생산(당해년가격) (백만원),구성비 (%),지역내총생산(2015년 기준년 연쇄가격) (백만원),전년대비 증감률 (%)
"서울시",소계,313281033,100.0,333249300,...,326415107,100.0,343756313,3.2,334324998,100.0,348568408,1.4,340711607,100.0,354319250,1.6,350258443,100.0,359661759,1.5,370167867,100.0,370167867,2.9,387364432,100.0,380679274,2.8,404079600,100.0,389584629,2.3,423742112,100.0,403605888,3.6,435927212,100.0,414092568,2.6
"서울시",종로구,25368342,8.1,25907762,...,26475253,8.1,26676515,3.0,27054742,8.1,27354788,2.5,26899141,7.9,27492933,0.5,28437845,8.1,28795987,4.7,29331069,7.9,29331069,1.9,30190706,7.8,29843813,1.7,31416328,7.8,30347175,1.7,31868698,7.5,30424283,0.3,33780610,7.7,32427863,6.6
"서울시",중구,50231606,16.0,48809258,...,49984232,15.3,48050486,-1.6,47896948,14.3,47040011,-2.1,46545834,13.7,46998911,-0.1,46949514,13.4,47020075,0.0,49949249,13.5,49949249,6.2,52623501,13.6,52473429,5.1,51213292,12.7,49962749,-4.8,54274488,12.8,52384539,4.8,53823217,12.3,52869673,0.9
"서울시",용산구,9458938,3.0,10450306,...,9708239,3.0,10577186,1.2,9617839,2.9,10243552,-3.2,9635228,2.8,10103203,-1.4,9686230,2.8,10010946,-0.9,10023473,2.7,10023473,0.1,10457073,2.7,10221764,2.0,11737945,2.9,11248337,10.0,12300317,2.9,11664441,3.7,12695516,2.9,11992461,2.8
"서울시",성동구,7594800,2.4,8213234,...,8134121,2.5,8706354,6.0,8714556,2.6,9173396,5.4,9158435,2.7,9551326,4.1,9597921,2.7,9875532,3.4,10231864,2.8,10231864,3.6,10662221,2.8,10372266,1.4,10735112,2.7,10319471,-0.5,11657151,2.8,11038914,7.0,12167850,2.8,11419293,3.4
"서울시",광진구,5470153,1.7,6045944,...,5376706,1.6,5881569,-2.7,5491363,1.6,5876051,-0.1,5577272,1.6,5880643,0.1,5539718,1.6,5729947,-2.6,5696485,1.5,5696485,-0.6,6097219,1.6,5954740,4.5,6131450,1.5,5899749,-0.9,6342279,1.5,6018697,2.0,6587069,1.5,6187957,2.8
"서울시",동대문구,5883484,1.9,6433936,...,6055224,1.9,6524806,1.4,6391083,1.9,6757866,3.6,6492698,1.9,6785837,0.4,6555042,1.9,6749342,-0.5,6589147,1.8,6589147,-2.4,7185192,1.9,6998347,6.2,7218027,1.8,6934645,-0.9,7328160,1.7,6940198,0.1,7555543,1.7,7078663,2.0
"서울시",중랑구,3558287,1.1,3947660,...,3589529,1.1,3951353,0.1,3809180,1.1,4103536,3.9,3912729,1.1,4146647,1.1,3918661,1.1,4065592,-2.0,3856334,1.0,3856334,-5.1,4120148,1.1,4010229,4.0,4283062,1.1,4126713,2.9,4452719,1.1,4241319,2.8,4741739,1.1,4447811,4.9
"서울시",성북구,4753282,1.5,5275765,...,4900844,1.5,5378532,1.9,5147771,1.5,5523415,2.7,5305256,1.6,5589960,1.2,5223368,1.5,5382851,-3.7,5407042,1.5,5407042,0.4,5750131,1.5,5624613,4.0,5917636,1.5,5687338,1.1,6054811,1.4,5742234,1.0,6141921,1.4,5761704,0.3
"서울시",강북구,3523524,1.1,3897307,...,3099417,0.9,3415691,-12.4,3034754,0.9,3269084,-4.3,2794358,0.8,2966538,-9.3,2762673,0.8,2865234,-3.4,2759140,0.7,2759140,-3.7,2952798,0.8,2882038,4.5,3057496,0.8,2940688,2.0,3207289,0.8,3050845,3.7,3283572,0.8,3088259,1.2
"서울시",도봉구,2590667,0.8,2892873,...,2680341,0.8,2970708,2.7,2730446,0.8,2952452,-0.6,2778965,0.8,2948645,-0.1,2864374,0.8,2967107,0.6,2906723,0.8,2906723,-2.0,3116564,0.8,3042411,4.7,3325320,0.8,3201186,5.2,3352742,0.8,3196705,-0.1,3404872,0.8,3208282,0.4
"서울시",노원구,4968064,1.6,5504884,...,5254223,1.6,5782551,5.0,5200159,1.6,5596591,-3.2,5255627,1.5,5566977,-0.5,5399253,1.5,5585382,0.3,5606176,1.5,5606176,0.4,5901669,1.5,5781399,3.1,6239829,1.5,6008729,3.9,6387713,1.5,6089681,1.3,6620672,1.5,6236040,2.4
"서울시",은평구,3522078,1.1,3927286,...,3375379,1.0,3729544,-5.0,3408442,1.0,3678726,-1.4,3660969,1.1,3884597,5.6,3671864,1.0,3803247,-2.1,3866400,1.0,3866400,1.7,4298312,1.1,4202039,8.7,4514825,1.1,4340123,3.3,4754342,1.1,4510226,3.9,4919715,1.1,4601453,2.0
"서울시",서대문구,5792314,1.8,6389459,...,6339773,1.9,6882611,7.7,7102760,2.1,7546496,9.6,7123557,2.1,7489166,-0.8,7195459,2.1,7447964,-0.6,7507777,2.0,7507777,0.8,7837950,2.0,7661278,2.0,8212568,2.0,7864202,2.6,8363965,2.0,7919308,0.7,8652191,2.0,8107945,2.4
"서울시",마포구,12104724,3.9,13152867,...,13633828,4.2,14727155,12.0,14832137,4.4,15770933,7.1,16128504,4.7,17015917,7.9,16959271,4.8,17566744,3.2,17955655,4.9,17955655,2.2,18926362,4.9,18596061,3.6,18740095,4.6,18197917,-2.1,19474677,4.6,18734499,2.9,19943128,4.6,18987571,1.4
"서울시",양천구,5789373,1.8,6358979,...,5954917,1.8,6501852,2.2,6087578,1.8,6517287,0.2,5938515,1.7,6266737,-3.8,6069052,1.7,6270132,0.1,6276755,1.7,6276755,0.1,6399102,1.7,6260452,-0.3,6658836,1.6,6423353,2.6,6931171,1.6,6617796,3.0,7125314,1.6,6729834,1.7
"서울시",강서구,7553259,2.4,8259388,...,7992342,2.4,8747605,5.9,8110727,2.4,8815114,0.8,8923765,2.6,9582064,8.7,9097721,2.6,9541179,-0.4,10149098,2.7,10149098,6.4,11420676,2.9,11134117,9.7,16772058,4.2,16070578,44.3,17607271,4.2,16743106,4.2,17458926,4.0,16470960,-1.6
"서울시",구로구,10940921,3.5,11881642,...,11041540,3.4,11905786,0.2,11459277,3.4,12161584,2.1,11551459,3.4,12109115,-0.4,11490653,3.3,11907133,-1.7,12017187,3.2,12017187,0.9,12472027,3.2,12203198,1.5,13254659,3.3,12696656,4.0,13816661,3.3,13061147,2.9,14090156,3.2,13302390,1.8
"서울시",금천구,12415829,4.0,13429693,...,13589560,4.2,14582933,8.6,14513295,4.3,15306673,5.0,14541512,4.3,15181551,-0.8,14234518,4.1,14730324,-3.0,14953994,4.0,14953994,1.5,15751878,4.1,15428330,3.2,16385145,4.1,15700657,1.8,17162843,4.1,16287912,3.7,17614623,4.0,16745777,2.8
"서울시",영등포구,25966200,8.3,27458784,...,27548300,8.4,28811350,4.9,27293987,8.2,28408551,-1.4,28078087,8.2,29109216,2.5,28194672,8.0,29046745,-0.2,30173741,8.2,30173741,3.9,30667943,7.9,30210736,0.1,32055158,7.9,30802301,2.0,34299880,8.1,32377459,5.1,36095497,8.3,34201860,5.6
"서울시",동작구,5761951,1.8,6330135,...,5810675,1.8,6333388,0.1,5916935,1.8,6297286,-0.6,5820494,1.7,6130810,-2.6,5595277,1.6,5773906,-5.8,5521181,1.5,5521181,-4.4,5965426,1.5,5842744,5.8,6254375,1.5,6005916,2.8,6362074,1.5,6024527,0.3,6527100,1.5,6115838,1.5
"서울시",관악구,4832579,1.5,5365298,...,5036256,1.5,5545042,3.4,5157841,1.5,5537617,-0.1,5304105,1.6,5615912,1.4,5504127,1.6,5679347,1.1,5597548,1.5,5597548,-1.4,5623923,1.5,5506898,-1.6,5755018,1.4,5553958,0.9,5836563,1.4,5578726,0.4,5963769,1.4,5649476,1.3
"서울시",서초구,24520928,7.8,26606520,...,25719896,7.9,27635540,3.9,27357211,8.2,28831392,4.3,27854157,8.2,29102938,0.9,28636972,8.2,29573986,1.6,30390265,8.2,30390265,2.8,32366952,8.4,31742896,4.5,33772132,8.4,32412600,2.1,35277030,8.3,33432374,3.1,35570338,8.2,33420206,0.0
"서울시",강남구,46732957,14.9,50124725,...,49798703,15.3,52927768,5.6,51039580,15.3,53311451,0.7,53810793,15.8,55879857,4.8,57487436,16.4,59139013,5.8,62295492,16.8,62295492,5.3,63866440,16.5,62600367,0.5,65387478,16.2,62951638,0.6,69186319,16.3,65689895,4.3,71852681,16.5,67789806,3.2
"서울시",송파구,17589054,5.6,19306616,...,18431887,5.6,19925280,3.2,19266071,5.8,20398913,2.4,20328884,6.0,21359856,4.7,21853310,6.2,22619324,5.9,23586997,6.4,23586997,4.3,24812660,6.4,24372060,3.3,26815980,6.6,25892942,6.2,28617470,6.8,27402979,5.8,29962528,6.9,28427927,3.7
"서울시",강동구,6357720,2.0,6900908,...,6883921,2.1,7407585,7.3,7690317,2.3,8104649,9.4,7291261,2.1,7628123,-5.9,7333512,2.1,7559909,-0.9,7519077,2.0,7519077,-0.5,7897558,2.0,7713049,2.6,8225774,2.0,7905206,2.5,8825479,2.1,8347156,5.6,9348668,2.1,8720189,4